
Minimum time:  760	(0.076 ms)

Test #		Time
816:		850	(0.085 ms)
817:		816	(0.0816 ms)
818:		807	(0.0807 ms)
819:		857	(0.0857 ms)
820:		805	(0.0805 ms)
821:		801	(0.0801 ms)
822:		849	(0.0849 ms)
823:		806	(0.0806 ms)
824:		806	(0.0806 ms)
825:		837	(0.0837 ms)
826:		802	(0.0802 ms)
827:		806	(0.0806 ms)
828:		836	(0.0836 ms)
829:		814	(0.0814 ms)
830:		797	(0.0797 ms)
831:		800	(0.08 ms)
832:		767	(0.0767 ms)
833:		792	(0.0792 ms)
834:		846	(0.0846 ms)
835:		806	(0.0806 ms)
836:		803	(0.0803 ms)
837:		834	(0.0834 ms)
838:		809	(0.0809 ms)
839:		809	(0.0809 ms)
840:		806	(0.0806 ms)
841:		841	(0.0841 ms)
842:		817	(0.0817 ms)
843:		807	(0.0807 ms)
844:		842	(0.0842 ms)
845:		805	(0.0805 ms)
846:		807	(0.0807 ms)
847:		842	(0.0842 ms)
848:		805	(0.0805 ms)
849:		802	(0.0802 ms)
850:		843	(0.0843 ms)
851:		800	(0.08 ms)
852:		774	(0.0774 ms)
853:		838	(0.0838 ms)
854:		820	(0.082 ms)
855:		805	(0.0805 ms)
856:		842	(0.0842 ms)
857:		807	(0.0807 ms)
858:		806	(0.0806 ms)
859:		839	(0.0839 ms)
860:		808	(0.0808 ms)
861:		805	(0.0805 ms)
862:		838	(0.0838 ms)
863:		807	(0.0807 ms)
864:		799	(0.0799 ms)
865:		832	(0.0832 ms)
866:		816	(0.0816 ms)
867:		803	(0.0803 ms)
868:		801	(0.0801 ms)
869:		854	(0.0854 ms)
870:		803	(0.0803 ms)
871:		802	(0.0802 ms)
872:		844	(0.0844 ms)
873:		803	(0.0803 ms)
874:		799	(0.0799 ms)
875:		846	(0.0846 ms)
876:		805	(0.0805 ms)
877:		808	(0.0808 ms)
878:		843	(0.0843 ms)
879:		814	(0.0814 ms)
880:		809	(0.0809 ms)
881:		842	(0.0842 ms)
882:		807	(0.0807 ms)
883:		805	(0.0805 ms)
884:		847	(0.0847 ms)
885:		804	(0.0804 ms)
886:		809	(0.0809 ms)
887:		848	(0.0848 ms)
